time, AirTemp,RelHum,WindSpeed,Rain,Cloud,ShortWave,Snow
2008-11-03,14.475,100,6.562,0,1.93,29.26273149,0
2008-11-04,8.93,90.24,1.41,0,0.94,11.96759259,0
2008-11-05,5.757,53.58,1.881,0.000285,0.57,5.013888889,0
2008-11-06,9.879,84.55,2.136,0.000267,0.89,8.755787037,0
2008-11-07,7.82,59.84,2.04,0,0.646,13.22222222,0
2008-11-08,19.467,100,3.024,0,1.6065,74.15625,0
2008-11-09,14.544,100,6.624,0.002016,0.972,59.66666667,0
2008-11-10,7.524,41.61,3.534,0,0.4845,15.70138889,0
2008-11-11,7.44,40.2,3.48,0.00006,0.4875,12.15277778,0
2008-11-12,6.6,68.64,3.256,0,0.429,38.19444445,0
2008-11-13,6.549,94.35,2.442,0,0.3885,69.24652778,0
2008-11-14,8.584,100,5.328,0.000296,1.2395,37,0
2008-11-15,9.009,80.99,5.551,0.000546,0.91,7.899305556,0
2008-11-16,6.106,56.09,4.402,0,0.470375,30.7337963,0
2008-11-17,4.37,70.3,2.755,0,0.463125,62.2337963,0
2008-11-18,2.232,50.84,2.852,0.003472,0.58125,17.58101852,0
2008-11-19,13.37,100,14.134,0.003629,1.790625,26.52777778,0
2008-11-20,3.9,41.5,4.35,0.00435,0.425,6.30787037,0
2008-11-21,1.843,87.3,4.365,0.003201,0.642625,9.430555555,0
2008-11-22,-0.28,60.2,3.5,0.00042,0.35,19.60648148,0.007
2008-11-23,0.49,86.24,4.606,0.000196,0.77175,41.51388889,0.0294
2008-11-24,-0.345,59.34,1.449,0,0.4485,18.6875,0
2008-11-25,0.29,51.04,2.088,0,0.5365,10.40509259,0
2008-11-26,3.198,100,6.273,0.000369,0.907125,36.30208333,0
2008-11-27,6.206,93.09,4.708,0.000214,0.949625,-123.71875,0
2008-11-28,4.935,100,4.935,0,1.16325,44.22569444,0
2008-11-29,1.656,77.28,2.944,0.000552,0.851,15.43981482,0
2008-11-30,1.248,92.56,2.288,0,0.598,16.12962963,0
2008-12-01,4.81,100,4.07,0.019055,1.549375,21.41203703,0
2008-12-02,6.426,100,10.863,0,1.41525,19.30208333,0
2008-12-03,1.988,100,6.674,0.005396,1.065,13.14814815,0
2008-12-04,3.087,100,5.733,0.000294,1.267875,25.01041667,0
2008-12-05,7.104,100,4.292,0,1.11,34.43055556,0
2008-12-06,3.22,84.64,1.38,0,0.713,22.89351852,0
2008-12-07,3.612,77.4,2.322,0.001376,0.82775,9.256944445,0
2008-12-08,7.56,100,7.2,0,1.5975,-208.125,0
2008-12-09,1.521,100,4.732,0,1.246375,57.7025463,0
2008-12-10,1.921,100,2.825,0.000339,1.13,7.847222222,0
2008-12-11,0.864,50.22,1.026,0.002862,0.54,3.3125,0
2008-12-12,0.756,100,2.376,0,1.08,10.125,0.0216
2008-12-13,1.716,70.2,3.51,0,0.77025,6.5,0
2008-12-14,1.75,40.5,2.5,0,0.475,4.918981482,0
2008-12-15,5.568,100,6.528,0,1.92,14.66666667,0
2008-12-16,3.87,100,2.064,0,1.29,6.868055555,0
2008-12-17,3.096,78.26,1.204,0.000086,0.86,4.578703704,0
2008-12-18,4.136,100,4.324,0,1.88,21.75925925,0
